ri,smiles,group,stratify_group
1653.87,CC#CCCCCCCCCCCC,unbrch_alkane,unbrch_alkane
1657.75,CCCCCOC(=O)C(Cl)Cl,alkyl_halide,alkyl_halide
2028.2333333333331,CCOCC1CCCCCCCCCCC1,ether,ether
1005.325,CCCCC=O,C_O,C_O
1449.1666666666667,CCCCCCCC(=O)OCC,unbrch_alkane,unbrch_alkane
1628.3333333333333,CC/C=C/CCOC(=O)C(C)Cl,C_O,C_O
1806.0,CCCCC(Cl)CCCCCCl,alkyl_halide,alkyl_halide
2780.0,Cn1c2ccccc2c2ccccc21,bicyclic,bicyclic
1550.0,C[Si](C)(C)O[C@@H]1OC[C@H](O[Si](C)(C)C)[C@H](O[Si](C)(C)C)[C@@H]1O[Si](C)(C)C,ether,ether
1066.4166666666663,CCC(=O)OC(C)CC,C_O,C_O
1821.3333333333333,CCC(Cl)COC(=O)CCl,alkyl_halide,alkyl_halide
2233.0,Cc1ccc(O)cc1C,aryl_methyl,aryl_methyl
2147.3333333333335,CCCCC(Cl)CCOC(=O)C(Cl)(Cl)Cl,alkyl_halide,alkyl_halide
1310.5,C/C=C/C(=O)OCCCC(C)C,C_O,C_O
1293.0,CC(=O)OCC(C)Cl,C_O,C_O
1063.0,CC(C)CCOCCC(C)C,unbrch_alkane,unbrch_alkane
1459.75,CCC(C)(C)OC(=O)CC(C)Cl,C_O,C_O
2082.25,CC(Cl)CCCOC(=O)C(Cl)Cl,alkyl_halide,alkyl_halide
2364.0,CCCCCC(Cl)CCCCC(=O)OCCl,alkyl_halide,alkyl_halide
1687.6666666666667,COc1ccccc1Cl,benzene,benzene
2762.5,CCCCCCCCC(Cl)CCCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
2398.0,COc1ccc2c(c1)NCC2,NH1,NH1
2765.0,CCCCCCCC(Cl)CCCCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
2394.0,CC(C)Oc1ccc2c(c1)NCC2,NH1,NH1
1146.875,CCCC(=O)OC(C)CC,C_O,C_O
2760.0,CCCCCCCCCC(Cl)CCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
2573.0,CC(=O)O[C@@H]1CCC2C[C@@H](O)CCC2C1,Al_OH,Al_OH
1602.6666666666667,CC(C)CC1[C@H]2CC3C[C@@H](C2)C[C@H]1C3,unknown,unknown
2107.5,CCC(Cl)CCCCCCCOC(C)=O,unbrch_alkane,unbrch_alkane
1860.0,CCNC(C)Cc1ccc(Cl)cc1,NH1,NH1
2376.5,c1ccc(CCCCc2ccccc2)cc1,aryl_methyl,aryl_methyl
1463.0,CCc1ncsc1CC,aryl_methyl,aryl_methyl
1686.0,C=C1CCC[C@@]2(C)CC[C@@H](C(=C)C)CC12,allylic_oxid,allylic_oxid
1132.0,CC(C)CCCC(C)N,NH2,NH2
2253.6666666666665,CCCCCCCCCCCCCCCC(=O)OCC,unbrch_alkane,unbrch_alkane
1880.25,CCCCCCCCCCCCOC(C)=O,unbrch_alkane,unbrch_alkane
1528.0,CC(C)[C@H]1CC[C@@H](C)CC1=O,C_O,C_O
1138.1578095238096,CCCCO,Al_OH,Al_OH
1204.5,COCCO,Al_OH,Al_OH
2303.5,CC(Cl)CCCCCCCC(=O)OCCl,unbrch_alkane,unbrch_alkane
2007.0,CC1CCC2C(C)(C)C3CC12CC1OC13C,bicyclic,bicyclic
1018.75,CC1(C)C2CC3C(C2)C31C,unknown,unknown
917.0,CCC(C)(C)OC(C)=O,C_O,C_O
1090.8333333333333,CCCSCCC,unbrch_alkane,unbrch_alkane
1408.1666666666663,OC1CCCCC1,Al_OH,Al_OH
2683.73,CN(Cc1ccccc1)C(=O)c1ccccc1,benzene,benzene
2573.6,CCCCCCCCCCCCCC(=O)OCC(Cl)Cl,unbrch_alkane,unbrch_alkane
2165.6666666666665,CCCC(Cl)CCCCC(=O)OCCl,alkyl_halide,alkyl_halide
1566.25,BrCCCCBr,alkyl_halide,alkyl_halide
2188.0,O=C(CCCCCCCCl)OCCl,unbrch_alkane,unbrch_alkane
1718.0,COc1ccccc1OC,ether,ether
1037.7296296296297,CCC/C=C/CCCCC,allylic_oxid,allylic_oxid
748.10625,CC/C=C/CCC,allylic_oxid,allylic_oxid
2101.6666666666665,C=CCCOC(=O)c1cccc(Cl)c1,C_O,C_O
1524.0,C[Si](C)(C)OC1[C@@H](O[Si](C)(C)C)CO[C@@H](O[Si](C)(C)C)[C@@H]1O[Si](C)(C)C,ether,ether
2257.3333333333335,CCCCCOC(=O)c1ccccc1Cl,unbrch_alkane,unbrch_alkane
2517.0,c1ccc(Nc2ccccc2)cc1,aniline,rare
2717.0,COC(=O)CCCCCCCCCCCCCCC(C)Cl,unbrch_alkane,unbrch_alkane
1171.496666666667,C=CC(=C)CCC=C(C)C,allylic_oxid,allylic_oxid
1224.0,CCCCC(=O)OC(C)CC,C_O,C_O
2279.3333333333335,CCCCCC(Cl)CCOC(=O)C(Cl)Cl,alkyl_halide,alkyl_halide
765.6708333333333,C/C=C/CCCC,allylic_oxid,allylic_oxid
2426.0,O=Cc1ccc(Cl)c(Cl)c1O,halogen,halogen
472.3333333333333,C/C=C\C,allylic_oxid,allylic_oxid
1724.0,CC1=CC2C(CC1)C(C)=CCC2C(C)C,allylic_oxid,allylic_oxid
961.0,CCCCBr,alkyl_halide,alkyl_halide
1283.3333333333333,CCCCC(O)CC,Al_OH,Al_OH
1262.5,CCCC(=O)OCCC(C)C,C_O,C_O
1361.2222222222224,Cc1ccc(C)nc1,aryl_methyl,aryl_methyl
2010.6666666666667,CCCCCCCCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
1624.8333333333333,CCC(Cl)OC(=O)CCl,alkyl_halide,alkyl_halide
1218.0,CCCC(Cl)CCl,alkyl_halide,alkyl_halide
1409.5,CCCCCCCC1=CC=CC1,allylic_oxid,allylic_oxid
1543.25,CCC(Cl)CCOC(C)=O,C_O,C_O
1536.4,C1CN2CCN1CC2,bicyclic,bicyclic
2204.0,CC(N)Cc1ccc2c(c1)OCO2,ether,ether
1425.0,Cc1ccc(C(C)(C)C)cc1C,aryl_methyl,aryl_methyl
1385.5,COC(=O)C(=O)OC,C_O,C_O
1741.0,C=CC1(C)CCC(O)C(C)(C)O1,Al_OH,Al_OH
1493.2,COC(=O)[C@@H]1CCC=C[C@H]1C,allylic_oxid,allylic_oxid
1113.5,CCC(C)(O)CC,Al_OH,Al_OH
1488.8,CCCC#CCCCCCCCC,unbrch_alkane,unbrch_alkane
1080.7666666666669,C=C1CC2CCC1C2(C)C,bicyclic,bicyclic
1069.1666666666663,CCCCCC(C)Cl,alkyl_halide,alkyl_halide
1383.0,CC(C)=C[C@@H]1C[C@@H](C)CCO1,allylic_oxid,allylic_oxid
2176.5,CCOC(=O)C1OC1Cc1ccccc1,ether,ether
1756.1,C[C@H]1OCc2ccccc2[C@@H]1C,benzene,benzene
1388.5,Cc1cnc(C)c(C)n1,aryl_methyl,aryl_methyl
2197.0,CCCCCCCCC(Cl)CCCC(=O)OC,unbrch_alkane,unbrch_alkane
1382.0,CCCCCCN1CCC(C)CC1,unbrch_alkane,unbrch_alkane
2076.6666666666665,O=Cc1cccc(Cl)c1O,Ar_OH,Ar_OH
1672.5,CCCCCCSCCCCCC,unbrch_alkane,unbrch_alkane
2943.0,CCCCO[Si]12OCCN(CCO1)CCO2,bicyclic,bicyclic
1623.0,CC1CCCC(C)CCC(C)(C)CCC1,unknown,unknown
2663.0,C=CC(C)(O)CC[C@@H]1C(=C)CC[C@@H]2C(C)(C)CCC[C@@]12C,Al_OH,Al_OH
1491.0,COC(=O)C(Cl)CCl,alkyl_halide,alkyl_halide
2009.0,CCCCCCCCCCCCC(C)O,unbrch_alkane,unbrch_alkane
1014.0,CCCCNCC(C)C,unbrch_alkane,unbrch_alkane
2415.0,Cc1cccc2cc[nH]c12,Ar_N,Ar_N
1969.0,O[C@H]1CC2CC1[C@H]1CC=C[C@@H]21,bicyclic,bicyclic
1752.6,CCCCCCC(Cl)COC(C)=O,unbrch_alkane,unbrch_alkane
1270.25,BrCCBr,alkyl_halide,alkyl_halide
1316.0,CC(C)OC(=O)C(C)Br,C_O,C_O
1706.0,C[Si](C)(C)OC[C@@H]1O[C@@H](O[Si](C)(C)C)[C@H](O[Si](C)(C)C)[C@@H](O[Si](C)(C)C)[C@H]1O[Si](C)(C)C,ether,ether
1221.4,C=C(C)C1CC=C(C)CC1,allylic_oxid,allylic_oxid
1558.0,CC1=C2C(CC1)C(C)CCC1C2C1(C)C,bicyclic,bicyclic
1566.0,CCCCCCCN1C(C)CCCC1C,unbrch_alkane,unbrch_alkane
1682.0,C[Si](C)(C)OC[C@@H]1O[C@@](CO[Si](C)(C)C)(O[Si](C)(C)C)[C@@H](O[Si](C)(C)C)[C@@H]1O[Si](C)(C)C,ether,ether
1596.8,CCCCCCC(Cl)OC(C)=O,unbrch_alkane,unbrch_alkane
1563.3,CCCCCc1ccc(CC)cc1,aryl_methyl,aryl_methyl
1594.0,CCCCCCCCC(C)O,unbrch_alkane,unbrch_alkane
2078.0,Cc1cc2ccccc2nc1C,aryl_methyl,aryl_methyl
2352.0,CCCCCCCCCCCC(=O)OCC(Cl)(Cl)Cl,unbrch_alkane,unbrch_alkane
2429.75,CCCCCCCCCCCC(Cl)CCOC(C)=O,unbrch_alkane,unbrch_alkane
1867.0,CC(=O)O[C@@H]1CC2CC1[C@@H]1CCC[C@H]21,bicyclic,bicyclic
2978.5,CC(C)c1ccc2c(c1)CCC1C2(C)CCC[C@]1(C)C=O,bicyclic,bicyclic
1095.3333333333337,CC(C)C(C)O,Al_OH,Al_OH
1149.07,Br/C=C/Br,halogen,halogen
1614.5,CC1=CCC(O)(C(C)C)CC1,Al_OH,Al_OH
1192.5,CCCCCCCCO[Si](C)(C)C,unbrch_alkane,unbrch_alkane
1410.5,CCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
1598.0,CC1=CC[C@]23C[C@H]1C(C)(C)[C@H]2CC[C@@H]3C,allylic_oxid,allylic_oxid
1132.0,CCC(C)COC(C)=O,C_O,C_O
3041.0,CC(C)=C1C=C2CCC3C(C)(C=O)CCCC3(C)C2CC1,allylic_oxid,allylic_oxid
839.5625,CC(C)C=O,C_O,C_O
2173.0,Cc1ccc(C(C)C)c(O)c1,Ar_OH,Ar_OH
1571.2,CC1=CCC2C3(C)CC[C@H]4[C@H](C4(C)C)[C@]123,allylic_oxid,allylic_oxid
1212.5,C=CCOC(=O)CCC,C_O,C_O
2454.25,CCCCCCCOC(=O)c1ccccc1Cl,unbrch_alkane,unbrch_alkane
